"End Date","CHF/EUR","","","","","","","","",""
"2014-06-04","0.8190",,,,,,,,,
"2014-06-03","0.8184",,,,,,,,,
"2014-06-02","0.8188",,,,,,,,,
"2014-06-01","0.8194",,,,,,,,,
"2014-05-31","0.8194",,,,,,,,,
"2014-05-30","0.8192",,,,,,,,,
"2014-05-29","0.8191",,,,,,,,,
"2014-05-28","0.8182",,,,,,,,,
"2014-05-27","0.8184",,,,,,,,,
"2014-05-26","0.8191",,,,,,,,,
"2014-05-25","0.8191",,,,,,,,,
"2014-05-24","0.8191",,,,,,,,,
"2014-05-23","0.8190",,,,,,,,,
"2014-05-22","0.8185",,,,,,,,,
"2014-05-21","0.8183",,,,,,,,,
"2014-05-20","0.8180",,,,,,,,,
"2014-05-19","0.8181",,,,,,,,,
"2014-05-18","0.8181",,,,,,,,,
"2014-05-17","0.8181",,,,,,,,,
"2014-05-16","0.8187",,,,,,,,,
"2014-05-15","0.8191",,,,,,,,,
"2014-05-14","0.8198",,,,,,,,,
"2014-05-13","0.8193",,,,,,,,,
"2014-05-12","0.8192",,,,,,,,,
"2014-05-11","0.8200",,,,,,,,,
"2014-05-10","0.8200",,,,,,,,,
"2014-05-09","0.8204",,,,,,,,,
"2014-05-08","0.8207",,,,,,,,,
"2014-05-07","0.8210",,,,,,,,,
"2014-05-06","0.8213",,,,,,,,,
"2014-05-05","0.8213",,,,,,,,,
"2014-05-04","0.8210",,,,,,,,,
"2014-05-03","0.8210",,,,,,,,,
"2014-05-02","0.8203",,,,,,,,,
"2014-05-01","0.8197",,,,,,,,,
"2014-04-30","0.8195",,,,,,,,,
"2014-04-29","0.8198",,,,,,,,,
"2014-04-28","0.8205",,,,,,,,,
"2014-04-27","0.8201",,,,,,,,,
"2014-04-26","0.8201",,,,,,,,,
"2014-04-25","0.8201",,,,,,,,,
"2014-04-24","0.8196",,,,,,,,,
"2014-04-23","0.8192",,,,,,,,,
"2014-04-22","0.8190",,,,,,,,,
"2014-04-21","0.8196",,,,,,,,,
"2014-04-20","0.8198",,,,,,,,,
"2014-04-19","0.8198",,,,,,,,,
"2014-04-18","0.8197",,,,,,,,,
"2014-04-17","0.8208",,,,,,,,,
"2014-04-16","0.8217",,,,,,,,,
"2014-04-15","0.8224",,,,,,,,,
"2014-04-14","0.8230",,,,,,,,,
"2014-04-13","0.8222",,,,,,,,,
"2014-04-12","0.8222",,,,,,,,,
"2014-04-11","0.8220",,,,,,,,,
"2014-04-10","0.8212",,,,,,,,,
"2014-04-09","0.8206",,,,,,,,,
"2014-04-08","0.8199",,,,,,,,,
"2014-04-07","0.8189",,,,,,,,,
"2014-04-06","0.8179",,,,,,,,,
"2014-04-05","0.8179",,,,,,,,,
"2014-04-04","0.8178",,,,,,,,,
"2014-04-03","0.8188",,,,,,,,,
"2014-04-02","0.8201",,,,,,,,,
"2014-04-01","0.8209",,,,,,,,,
"2014-03-31","0.8202",,,,,,,,,
"2014-03-30","0.8200",,,,,,,,,
"2014-03-29","0.8200",,,,,,,,,
"2014-03-28","0.8203",,,,,,,,,
"2014-03-27","0.8201",,,,,,,,,
"2014-03-26","0.8190",,,,,,,,,
"2014-03-25","0.8201",,,,,,,,,
"2014-03-24","0.8205",,,,,,,,,
"2014-03-23","0.8213",,,,,,,,,
"2014-03-22","0.8213",,,,,,,,,
"2014-03-21","0.8213",,,,,,,,,
"2014-03-20","0.8206",,,,,,,,,
"2014-03-19","0.8217",,,,,,,,,
"2014-03-18","0.8223",,,,,,,,,
"2014-03-17","0.8232",,,,,,,,,
"2014-03-16","0.8239",,,,,,,,,
"2014-03-15","0.8239",,,,,,,,,
"2014-03-14","0.8242",,,,,,,,,
"2014-03-13","0.8230",,,,,,,,,
"2014-03-12","0.8223",,,,,,,,,
"2014-03-11","0.8210",,,,,,,,,
"2014-03-10","0.8209",,,,,,,,,
"2014-03-09","0.8209",,,,,,,,,
"2014-03-08","0.8209",,,,,,,,,
"2014-03-07","0.8203",,,,,,,,,
"2014-03-06","0.8200",,,,,,,,,
"2014-03-05","0.8205",,,,,,,,,
"2014-03-04","0.8226",,,,,,,,,
"2014-03-03","0.8247",,,,,,,,,
"2014-03-02","0.8235",,,,,,,,,
"2014-03-01","0.8235",,,,,,,,,
"2014-02-28","0.8219",,,,,,,,,
"2014-02-27","0.8212",,,,,,,,,
"2014-02-26","0.8200",,,,,,,,,
"2014-02-25","0.8197",,,,,,,,,
"2014-02-24","0.8197",,,,,,,,,
"2014-02-23","0.8199",,,,,,,,,
"2014-02-22","0.8199",,,,,,,,,
"2014-02-21","0.8197",,,,,,,,,
"2014-02-20","0.8196",,,,,,,,,
"2014-02-19","0.8188",,,,,,,,,
"2014-02-18","0.8181",,,,,,,,,
"2014-02-17","0.8184",,,,,,,,,
"2014-02-16","0.8182",,,,,,,,,
"2014-02-15","0.8182",,,,,,,,,
"2014-02-14","0.8184",,,,,,,,,
"2014-02-13","0.8179",,,,,,,,,
"2014-02-12","0.8165",,,,,,,,,
"2014-02-11","0.8170",,,,,,,,,
"2014-02-10","0.8171",,,,,,,,,
"2014-02-09","0.8168",,,,,,,,,
"2014-02-08","0.8168",,,,,,,,,
"2014-02-07","0.8171",,,,,,,,,
"2014-02-06","0.8176",,,,,,,,,
"2014-02-05","0.8183",,,,,,,,,
"2014-02-04","0.8191",,,,,,,,,
"2014-02-03","0.8185",,,,,,,,,
"2014-02-02","0.8181",,,,,,,,,
"2014-02-01","0.8181",,,,,,,,,
"2014-01-31","0.8177",,,,,,,,,
"2014-01-30","0.8174",,,,,,,,,
"2014-01-29","0.8154",,,,,,,,,

