Date,Open,High,Low,Close,Volume,Adj Close
1/3/2000,16.5,16.56,14.63,15.38,647700,12.82
2/1/2000,15.31,16.06,14.44,15.19,606200,12.66
3/1/2000,15.31,16.5,14.19,16.5,686800,13.76
4/3/2000,16.19,16.31,14.69,15.25,388600,12.72
5/1/2000,15.38,15.56,13.81,14.38,492300,11.99
6/1/2000,14.38,16.19,14.19,15.19,304000,12.66
7/3/2000,15.25,15.31,13,13.5,336300,11.26
8/1/2000,13.63,14.19,13.31,13.94,301700,12.01
9/1/2000,13.94,14.13,12.94,13.25,316200,11.41
10/2/2000,13.38,13.5,12.31,12.69,252200,10.93
11/1/2000,12.69,13.25,11.63,11.75,357200,10.12
12/1/2000,12.06,12.19,10.75,11.06,964200,10.02
1/2/2001,11.13,11.56,10.44,11,914100,9.97
2/1/2001,11,11.1,10.4,10.53,577000,9.54
3/1/2001,10.32,11.02,9.05,10.24,666800,9.28
4/2/2001,10.11,11.24,10,11.22,553400,10.17
5/1/2001,11.37,11.72,10.79,10.89,837800,9.87
6/1/2001,10.88,10.9,10,10.23,449200,9.27
7/2/2001,10.2,10.24,9.16,9.4,468100,8.52
8/1/2001,9.54,9.81,8.93,9.14,394400,8.28
9/4/2001,9.04,9.08,7.77,8.4,559100,7.61
10/1/2001,8.37,8.86,8.28,8.39,456000,7.6
11/1/2001,8.49,8.67,8.17,8.38,499100,7.59
12/3/2001,8.21,8.51,7.55,7.71,749400,6.99
1/2/2002,7.76,8.07,7.05,7.14,617900,6.47
2/1/2002,7.05,7.56,6.71,7.47,651800,6.77
3/1/2002,7.66,8.7,7.66,8.14,1283300,7.38
4/1/2002,7.86,8.54,7.8,8.44,923500,7.65
5/1/2002,8.44,9.12,8.32,8.96,1782300,8.12
6/3/2002,9.04,9.12,7.94,8.43,1572500,7.64
7/1/2002,8.48,8.76,7.75,7.86,1478800,7.12
8/1/2002,7.75,8.11,7.63,7.81,1064900,7.08
9/3/2002,7.47,7.73,7.13,7.33,1286600,6.64
10/1/2002,7.19,7.4,6.5,6.91,2166300,6.26
11/1/2002,6.99,7.25,6.63,7.16,965500,6.49
12/2/2002,7.16,7.16,6.61,6.95,1062400,6.3
1/2/2003,7,7.27,6.71,6.77,1381300,6.14
2/3/2003,6.85,7.13,6.75,6.84,929200,6.2
3/3/2003,6.86,6.95,6.38,6.46,2049300,5.85
4/1/2003,6.54,6.69,6.19,6.41,1608400,5.81
5/1/2003,6.42,6.9,6.39,6.79,2574800,6.15
6/2/2003,6.98,7.41,6.85,7.27,3641000,6.59
7/1/2003,7.32,8.93,7.32,7.6,7212300,6.89
8/1/2003,7.53,8.39,7.34,8.3,5523100,7.52
9/2/2003,8.58,9.2,8.45,8.76,7321100,7.94
10/1/2003,8.92,9.69,8.6,9.24,6536600,8.37
11/3/2003,9.33,9.49,8.55,8.96,7454300,8.12
12/1/2003,9.06,9.67,8.85,9.64,4575100,8.74
1/2/2004,9.69,10.3,9.52,9.66,6712900,8.76
2/2/2004,9.7,9.8,9.37,9.71,6417200,8.8
3/1/2004,9.93,10.98,9.54,10.87,9381000,9.85
4/1/2004,10.94,11.2,10.11,10.14,9494500,9.19
5/3/2004,10.12,10.47,8.88,9.99,10969400,9.06
6/1/2004,9.98,10.63,9.71,10.62,6114400,9.63
7/1/2004,10.52,10.57,9.65,9.84,4906700,8.92
8/2/2004,9.76,10.2,9.36,9.98,4544200,9.05
9/1/2004,9.98,10.17,9.45,9.7,4302100,8.79
10/1/2004,9.83,10.08,9.68,9.93,5630900,9
11/1/2004,9.86,10.53,9.86,10.31,7042600,9.35
12/1/2004,10.34,10.92,9.97,10.92,6946700,9.94
1/3/2005,10.9,11,10.43,10.59,8195500,9.64
2/1/2005,10.58,10.87,10.42,10.81,8252500,9.84
3/1/2005,10.85,11.09,10.37,10.49,8390500,9.55
4/1/2005,10.63,10.65,9.86,10.25,13799500,9.33
5/2/2005,10.29,10.53,9.96,10.12,11810300,9.21
6/1/2005,10.17,10.37,10.05,10.14,9242300,9.23
7/1/2005,10.19,10.39,9.96,10.25,9620200,9.33
8/1/2005,10.37,11.23,10.15,11.13,15226000,10.13
9/1/2005,11.21,12.39,11.18,12.19,22339800,11.1
10/3/2005,12.13,12.21,11.47,12.11,30154000,11.02
11/1/2005,12.23,12.68,11.98,12.46,27047500,11.34
12/1/2005,12.66,13.68,12.63,13.52,20758100,12.36
1/3/2006,13.67,14.3,13.17,14.02,36014300,12.82
2/1/2006,13.94,14.02,13.19,13.8,26393500,12.61
3/1/2006,13.82,14.52,13.23,14.4,19691300,13.16
4/3/2006,14.53,15,14.3,14.8,16094800,13.53
5/1/2006,14.99,15.55,13.74,14,23207900,12.8
6/1/2006,13.85,14.27,12.27,13.64,33071700,12.47
7/3/2006,13.75,13.88,12.36,13.57,21651400,12.4
8/1/2006,13.42,14.1,13.29,13.71,10859500,12.53
9/1/2006,13.79,14.04,13.15,13.54,14346900,12.38
10/2/2006,13.65,14.11,13.45,13.81,15593600,12.62
11/1/2006,13.92,13.93,13.03,13.81,18511500,12.62
12/1/2006,13.81,14.3,13.7,14.21,14299500,12.99
1/3/2007,14.21,14.52,13.83,14.31,16325400,13.08
2/1/2007,14.5,15.16,14.15,14.76,23706300,13.49
3/1/2007,14.53,14.96,14.05,14.57,22767500,13.32
4/2/2007,14.47,14.75,14.21,14.28,16130300,13.05
5/1/2007,14.27,14.69,14.19,14.6,20543300,13.35
6/1/2007,14.68,14.75,14.29,14.51,15398100,13.26
7/2/2007,14.65,14.8,14.21,14.43,20783900,13.19
8/1/2007,14.26,14.38,13.34,14.07,28982000,12.86
9/4/2007,13.95,14.37,13.38,14.34,20045700,13.11
10/1/2007,14.32,14.7,13.77,14.36,16482100,13.13
11/1/2007,14.3,14.32,13.18,14.07,20951900,12.86
12/3/2007,14.12,14.38,13.03,13.29,16567500,12.27
1/2/2008,13.27,13.33,11.6,12.72,34315500,11.75
2/1/2008,12.79,12.94,11.91,12.53,22818300,11.57
3/3/2008,12.48,12.61,11.53,12.37,27100100,11.42
4/1/2008,12.59,13.38,12.44,13.28,19612500,12.26
5/1/2008,13.19,13.72,13.09,13.54,21255000,12.51
6/2/2008,13.63,13.83,12.27,12.47,22933300,11.57
7/1/2008,12.4,12.53,11.81,12,23611300,11.14
8/1/2008,11.91,11.93,11.14,11.41,19534400,10.59
9/2/2008,11.37,11.4,10.09,10.66,29588600,9.89
10/1/2008,10.51,10.64,7.66,9,44714200,8.35
11/3/2008,9.02,9.69,7.69,8.66,38381500,8.04
12/1/2008,8.57,9.62,8.08,9.58,33927900,8.96
1/2/2009,9.57,9.72,8.32,8.43,31528300,7.89
2/2/2009,8.41,8.77,7.27,7.37,34496100,6.9
3/2/2009,7.28,8.41,6.84,7.9,43486400,7.39
4/1/2009,7.95,8.73,7.92,8.51,36284900,7.96
5/1/2009,8.58,9.47,8.54,9.37,30847000,8.77
6/1/2009,9.53,9.67,9.2,9.43,25251700,8.87
7/1/2009,9.48,9.96,9.1,9.87,26136500,9.29
8/3/2009,10.02,10.29,9.75,10.22,21823800,9.61
